,id,name1,name2,name3,name4,name5,name6,name7,name8,comp_name,comp_id,patent_num,province
0,1,半导体显示,MicroLED,,,,,,,深圳市华星光电半导体显示技术有限公司,8.22778e+18,20,广东省
1,2,半导体显示,MicroLED,,,,,,,北京德瑞工贸有限公司,1.79622e+19,17,北京市
2,3,半导体显示,MicroLED,,,,,,,佛山市国星半导体技术有限公司,8.09599e+18,16,广东省
3,4,半导体显示,MicroLED,,,,,,,京东方科技集团股份有限公司,1.19347e+19,14,
4,5,半导体显示,MicroLED,,,,,,,南方科技大学,1.44618e+18,13,
5,6,半导体显示,MicroLED,,,,,,,广东工业大学,9.10566e+18,13,广东省
6,7,半导体显示,MicroLED,,,,,,,易美芯光（北京）科技有限公司,1.3047e+19,13,北京市
7,8,半导体显示,MicroLED,,,,,,,合肥市惠科精密模具有限公司,1.48137e+19,10,安徽省
8,9,半导体显示,MicroLED,,,,,,,福州大学,2.98674e+18,10,福建省
9,10,半导体显示,MicroLED,,,,,,,南昌大学,1.13149e+19,7,江西省
10,11,半导体显示,MicroLED,,,,,,,武汉大学,5.52309e+18,7,湖北省
11,12,半导体显示,MicroLED,,,,,,,重庆康佳光电技术研究院有限公司,1.1142e+19,7,重庆市
12,13,半导体显示,MicroLED,,,,,,,康佳集团股份有限公司,8.67004e+18,6,
13,14,半导体显示,MicroLED,,,,,,,深圳市思坦科技有限公司,1.15277e+19,6,广东省
14,15,半导体显示,MicroLED,,,,,,,深圳沃顿科技有限公司,9.20833e+18,6,广东省
15,16,半导体显示,MicroLED,,,,,,,北京京东方显示技术有限公司,1.58932e+19,5,北京市
16,17,半导体显示,MicroLED,,,,,,,厦门乾照半导体科技有限公司,1.37449e+19,5,福建省
17,18,半导体显示,MicroLED,,,,,,,昆山国显光电有限公司,9.44258e+18,5,
18,19,半导体显示,MicroLED,,,,,,,昆山工研院新型平板显示技术中心有限公司,1.02832e+18,5,
19,20,半导体显示,MicroLED,,,,,,,厦门乾照光电股份有限公司,9.79278e+18,4,福建省
20,21,半导体显示,MicroLED,,,,,,,廊坊广通电子设备有限公司,4.49376e+18,4,河北省
21,22,半导体显示,MicroLED,,,,,,,海信视像科技股份有限公司,9.19402e+18,4,
22,23,半导体显示,MicroLED,,,,,,,深圳市奥视微科技有限公司,6.73173e+18,4,广东省
23,24,半导体显示,MicroLED,,,,,,,深圳康佳电子科技有限公司,6.69321e+18,4,广东省
24,25,半导体显示,MicroLED,,,,,,,深圳蓝普视讯科技有限公司,1.21868e+19,4,广东省
25,26,半导体显示,MicroLED,,,,,,,绍兴宾果科技有限公司,1.54634e+18,4,浙江省
26,27,半导体显示,MicroLED,,,,,,,上海天马微电子有限公司,1.25924e+19,3,上海市
27,28,半导体显示,MicroLED,,,,,,,北京大学,3.32015e+18,3,北京市
28,29,半导体显示,MicroLED,,,,,,,华引芯（武汉）科技有限公司,1.29548e+19,3,湖北省
29,30,半导体显示,MicroLED,,,,,,,南京中电熊猫液晶显示科技有限公司,1.1264e+18,3,江苏省
30,31,半导体显示,MicroLED,,,,,,,复旦大学,7.2523e+18,3,
31,32,半导体显示,MicroLED,,,,,,,惠州雷曼光电科技有限公司,9.66531e+18,3,广东省
32,33,半导体显示,MicroLED,,,,,,,晶能光电（江西）有限公司,1.29251e+19,3,江西省
33,34,半导体显示,MicroLED,,,,,,,深圳雷曼光电科技股份有限公司,7.8171e+18,3,广东省
34,35,半导体显示,MicroLED,,,,,,,TCL华星光电技术有限公司,5.14193e+18,2,
35,36,半导体显示,MicroLED,,,,,,,上海显耀显示科技有限公司,1.69658e+19,2,上海市
36,37,半导体显示,MicroLED,,,,,,,上海芯元基半导体科技有限公司,9.80143e+18,2,上海市
37,38,半导体显示,MicroLED,,,,,,,上海鲲游光电科技有限公司,1.70825e+19,2,上海市
38,39,半导体显示,MicroLED,,,,,,,上海鲲游科技有限公司,1.35227e+19,2,上海市
39,40,半导体显示,MicroLED,,,,,,,东莞市中晶半导体科技有限公司,5.04145e+18,2,广东省
